Date,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2021-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-03,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-04,0,0,2.2,0,0,0,0,0,0,0,0,0,0,239.4319138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-05,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,335.8814643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-07,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.8326168,0,0,0,0,0,0,0,0,0,0,493.7142907,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,359.1478706,0,0,0,0,0,935.0201959,0,0,0,1880.816082,0,0,0,0,0,394.6466206,0,0,0,433,308,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-10,0,0,2.6,0,0,0,0,0,0,0,0,236.4700567,0,0,0,0,0,397.0565042,269.678988,623.3467972,0,675.6723383,0,0,0,0,0,0,1725.48575,2.6,349.7653177,349.7653177,411,0,900,294,232,0,609,807,0,379,2187,0,0,0,285,0,0,0,0,0,387,514
2021-06-11,0,0,2.6,0,0,0,0,0,0,3222.104169,0,0,4755.50423,0,814.1324818,1202.82005,213.74275,1396.101902,251.0804371,1508.09709,1367.036315,1340.268081,0,2226.886241,0,0,0,0,1729.686746,1593.366934,962.4938074,962.4938074,0,873,154,1367,231,0,610,256,0,515,1681,1824,0,243,427,0,0,0,276,458,645,0
2021-06-12,0,0,2.6,0,0,0,0,0,0,5108.392943,2496.737936,0,4809.77532,750.2199965,286.7966697,1266.126368,969.4760446,0,269.678988,1829.824469,462.37993,664.5957426,1097.621148,2272.025827,0,2000.287893,5028.7907,0,429.0583998,767.5323386,1290.284341,1290.284341,0,146,0,303,708,0,1004,264,0,2253,1310,376,654,1219,0,1042,0,0,0,0,0,1029
2021-06-13,0,0,2.6,0,0,0,0,670.6097414,3725.236397,4704.712466,2275.002773,5227.677324,3344.4559,6121.475928,786.3779654,4639.448763,0,550.7557961,1701.767407,1136.099808,0,974.7404225,0,2317.165413,1578.316358,508.0900048,3193.150844,0,1734.727941,2.6,522.9981203,522.9981203,2027,562,308,1002,0,0,0,1350,500,683,728,1004,332,2185,848,1409,0,0,0,0,0,340
2021-06-14,3301.73749,2428.177229,2.6,3483.185699,0,0,2748.010469,3959.176742,7619.582099,5372.620164,2820.471274,1562.391446,2048.733634,742.2389327,804.8809763,1980.58339,496.1885268,2407.955574,1311.197838,6947.300595,472.4316676,1971.634036,0,1775.490381,2297.111325,1944.583673,4319.097456,576.7172066,1669.192404,2.6,1236.262996,1236.262996,335,288,372,1347,343,0,412,1767,254,679,1967,1226,667,956,1126,468,0,393,0,0,0,1701
2021-06-15,652.0746014,1079.974175,2145.940749,882.8573171,0,0,540.4037324,6099.969378,4846.189503,4308.371634,1432.409153,396.9318808,1506.022738,2250.659989,0,4214.392054,0,0,2166.73118,2141.497868,1246.415463,3001.757437,0,0,519.8017128,1024.620043,9938.180308,1370.831369,857.8433728,0,1249.997236,1249.997236,669,0,972,1597,238,2153,400,531,180,258,3848,2626,332,368,567,0,0,0,0,0,0,0
2021-06-16,39619,445.2365936,560.9449983,1601.686499,0,2678.273636,2592.78812,2366.478607,8078.593069,7809.382315,4434.703262,2128.23051,1689.187665,2689.618498,1285.959261,3644.635188,473.2875178,2305.489379,2947.870317,2392.847383,1568.071067,6590.574448,0,0,503.4461029,504.7139915,7576.598694,1653.857594,2130.473076,0,2638.805355,2638.805355,0,1197,2119,854,444,2755,1031,267,1058,761,732,1741,997,519,3108,1880,0,0,0,0,0,510
2021-06-17,1717.830939,7.6,600.0806959,2634.098881,7498.822356,3082.093164,1029.066682,2972.606642,8209.048818,6253.377568,13596.8002,1807.306862,3086.668224,2458.167648,397.8147354,6176.887925,259.5447678,5251.392475,1311.197838,3669.702919,1196.156775,2082.399994,2193.480464,2302.118884,4.6,1529.334035,6825.155056,1939.463453,1580.982806,0,5657.591356,5657.591356,704,1013,201,1369,234,6971,1394,1817,1226,1270,4978,556,1995,368,2256,704,368,0,0,0,0,0
2021-06-18,1156.906551,2598.126288,601.2806959,4597.612149,12966.71366,4477.645945,172.4692763,3933.38406,3275.888816,6025.848572,2669.691363,0,7021.322223,3711.194663,434.8207573,6421.069439,465.6538482,3944.948493,1274.000737,1216.531653,1336.881102,4785.089347,547.9296582,3174.817546,403.9494758,3455.349634,3937.631686,677.7407451,6200.397951,706.4661726,11934.45977,12152.05977,0,1135,911,2596,702,2905,861,2103,1878,503,2916,1473,1774,0,0,235,0,0,0,0,488,4103
