tyee index chinook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT WEEK ('01),MONTH,DAY,1956,1957,1958,1959,56-'59 AVERAGE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,60-'69 AVERAGE,STAT WEEK ('01),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,80-'89 AVERAGE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,90-'99 AVERAGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2000-2007 AVERAGE,2009,STAT WEEK ('01),MONTH,DAY,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2010-2019 AVERAGE,,,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,month,day,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,N,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,TTD,N,DAILY,,,,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,DAILY,TTD,N,DAILY,TTD,,,,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
61,6,3,N/A,2.79,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,61,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,6,4,N/A,2.67,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,61,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,6,5,N/A,5.07,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,61,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,6,6,1.87,0.31,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,4.44,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,61,6,6,,,,,,,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,6,7,3.7,0.66,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,4.13,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,61,6,7,,,,,,,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,6,8,1.29,0.33,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3.72,2.75,3,N/A,4.65,3.69,3.76,N/A,N/A,N/A,N/A,N/A,7.27,4,N/A,N/A,11.09,2.56,N/A,N/A,N/A,N/A,,,,2,,61,6,8,,,,,,,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,6,9,2.02,0,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0.94,N/A,N/A,N/A,N/A,1,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.22,3.67,8.03,1.87,4,N/A,3.43,1.92,4.05,N/A,N/A,N/A,N/A,N/A,3.63,4,N/A,N/A,2.26,2.63,1.92,N/A,N/A,N/A,,,,3,,61,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,6,10,6.3,0.49,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0.63,N/A,N/A,N/A,N/A,1,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2,1.5,4.33,3.92,4,0.88,6.19,5.9,2.43,N/A,N/A,N/A,4.47,6.56,3.42,7,12.29,12.74,5.46,3.77,3.68,5.43,4.18,N/A,,,,7,,62,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,1.38,0.29,0.4,1.2,0.81,0,1.38,0.3,0,0.6,0,0,0.3
62,6,11,2.85,1.24,N/A,N/A,2,N/A,1.86,0.47,N/A,N/A,0.93,N/A,N/A,N/A,N/A,3,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.46,N/A,N/A,0.95,N/A,0.87,2.69,1.09,1.92,4.09,3.33,7,4.99,6.38,2.82,5.61,N/A,N/A,N/A,2.21,7.71,2.46,7,7.24,6.2,3.88,7.28,3.7,4.8,2.92,N/A,,,,7,,62,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.18,1.17,0.3,0.81,0,-,1.21,1.52,1.22,2.68,2.01,0.3,0.2
62,6,12,1.38,1.48,N/A,N/A,2,1.79,1.35,0,N/A,N/A,0.31,N/A,N/A,N/A,N/A,4,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.92,1.41,0.94,0.47,1.05,1.88,2.12,2.36,4.75,2.07,1.52,2.45,10,3.68,2.71,2.73,4.55,5.05,3.18,8.86,1.56,5,1.5,10,6.66,7.66,3.44,6.07,2.48,3.67,2.97,N/A,,,,7,,62,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,1.34,1.21,1.19,2.21,0.61,0.6,1.2,0.81,0.41,0.61,1.8,1.22,0.61
62,6,13,1.87,1.84,N/A,N/A,2,0.32,0.46,0.63,N/A,N/A,1.51,N/A,0.94,N/A,1.3,6,62,0,0,N/A,3.36,N/A,N/A,0.96,0.5,1.68,2.29,1.86,1.85,0,1.37,0.39,2.24,6.48,9.05,1.84,4.39,10,2.81,3.1,4.79,3.7,1.84,3.21,11.79,3.1,2.75,1.8,10,8.71,4.84,3.4,4.1,2.43,2.81,1.8,N/A,,,,7,,62,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4,0.6,0,2.53,0.6,0,1.51,0,0.61,0.91,1.51,0.81,0.6
62,6,14,1.51,1.86,N/A,N/A,2,0.97,0.47,0.32,N/A,0,0.31,0.62,1.21,N/A,0.64,8,62,0.96,0,N/A,2.16,N/A,N/A,0.48,0.68,1.34,2.75,1.78,0.48,0,0.92,1.73,2.95,1.85,1.89,10.96,3.35,10,0.93,5.36,1.3,8.74,5.08,7.42,14.79,3.9,4.57,1.56,10,6.33,6.35,5.55,4.5,4.98,3.07,2.05,N/A,,,,7,,62,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0,0.98,0.91,2.74,1.99,1.01,0.91,2.4,0.61,0.3,2.13,1.01,0.2
62,6,15,1.35,1.59,N/A,2.34,3,2.63,0,0.63,N/A,0.78,0.67,0.63,0.63,0,0,9,62,0,0.62,0,2.13,N/A,N/A,0.47,1.01,0.45,1.64,4.12,2.34,0,0.63,2.86,0.95,5.64,5.61,7.03,4.5,10,1.55,7.71,0.48,3.88,2.45,0.93,14.91,3.92,2.17,2.55,10,9.25,8.67,3.72,7.14,2.36,3.8,2.86,6.59,,,,8,,62,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.39,3.66,1.52,2.11,1.21,1.61,0.94,0,0.8,0.91,1.83,2.02,0.81
