Date,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,average.56-24,p10,p25,p75,p90
06/03/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/04/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2024,0,0.002492532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001156218,0,0,0,0,0,0,0,5.28804E-05,0,0,0,0
06/06/2024,0,0.003833211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002707724,0,0,0,0,0,0,0,9.47962E-05,0,0,0,0
06/07/2024,0.000420425,0.003833211,0,0.009476253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003221599,0,0,0,0,0,0,0,0.000245674,0,0,0,0
06/08/2024,0.001274516,0.003833211,0,0.009476253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000553141,0,0,0,0,0,0,0,0,0,0,0.000673324,0,0,0.000437754,0.000304085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003221599,0,0,0,0,0,0,0,0.000286578,0,0,0,0.000330819
06/09/2024,0.002049299,0.004546799,0,0.009476253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000264535,0.000726754,0.000742633,0,0,0,0.000667386,0,0,0,0,0,0.001034034,0,0,0.000437754,0.000788068,0.000373215,0,0,0,0,0,0,0,0,0,0,0,0,0.005296861,0,0,0,0,0,0,0,0.000382661,0,0,0,0.00072993
06/10/2024,0.005169259,0.005272085,0,0.009476253,0,0,0,0,0,0.003546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000264535,0.000885321,0.00168151,0,0.000942672,0,0.001395443,0,0,0,0,0.001944094,0.002500143,9.53203E-05,0.002240719,0.000661745,0.001582575,0.000726165,0.000408134,8.49849E-05,0,0.000320579,0.000916375,0.001634507,0.000256714,0.001271777,0.001634507,0,0,0.000188523,0.006077556,0,0,0,0,0.000109661,0.000315838,0,0.000747882,0,0,0.000726165,0.002003419
06/11/2024,0.008129186,0.005272085,0,0.009476253,0,0,0.005936483,0,0,0.005537839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002467019,0,0,0.003551707,0,0.000662141,0.000504212,0,0.001667389,0.001056437,0.00331297,0.001234807,0.001665743,0,0.002090695,0,0,0,0,0.003182123,0.003907273,0.000690256,0.004611077,0.001806047,0.001736837,0.001089652,0.002308638,0.000253657,0,0.000641157,0.001206169,0.005646479,0.000601951,0.002249213,0.005646479,0,0.000197582,0.000471308,0.006334493,0,0,0.000239678,0.000444708,0.000293608,0.000315838,0.000591898,0.001406248,0,0,0.001806047,0.005325236
06/12/2024,0.009641587,0.007060117,0,0.009476253,0.017427776,0.001978707,0.007441175,0,0,0.007034676,0,0,0,0,0,0,0,0,0,0,0,0,0.003437125,0.006386838,0.003630952,0.002023342,0.007009329,0.000724166,0.000662141,0.001035784,0.000735877,0.001667389,0.001056437,0.00405587,0.001650593,0.002008173,0.000768843,0.003791404,0,0.000964314,0.002558637,0,0.003796553,0.004251586,0.00100799,0.007445799,0.001806047,0.002350681,0.001089652,0.002589297,0.000512611,0,0.001166906,0.001503795,0.006474347,0.002115681,0.003010058,0.006474347,0.000302606,0.001177892,0.000471308,0.006848367,0,0,0.000239678,0.000444708,0.000293608,0.000955613,0.000591898,0.002335486,0,0,0.003437125,0.007014398
