Date,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
6/3/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
6/4/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
6/5/26,0,1.690140845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0.00
6/6/26,0,2.599231754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0.00
6/7/26,0.310077519,2.599231754,0,8.706126672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0.00
6/8/26,0.939998779,2.599231754,0,8.706126672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930232558,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0,0.681939176,0.471942442,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0.00
6/9/26,1.511427351,3.083102722,0,8.706126672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,1.222203361,0.937613568,0,0,0,0.833333333,0,0,0,0,0,0.91005291,0,0,0.681939176,1.223087474,0.499039681,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0.00
6/10/26,3.812502619,3.574906001,0,8.706126672,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,1.488870028,2.122996812,0,1.188295127,0,1.742424242,0,0,0,0,1.40625,2.200375491,0.285714286,5.5305564,1.030875343,2.45617017,0.970982123,0.375572516,0.25230769,0,0.75,1.17,0.77,0.58,2.29,0.77,0,0,0.26,6.15,0,0,0,0,0.31,0.39,0,0.00
6/11/26,5.995548381,3.574906001,0,8.706126672,0,0,3.912706612,0,0,3.450537241,0,0,0,0,0,0,0,0,0,0,0,0,0,4.390243902,0,0,7.012987013,0,0.89656608,1.323529412,0,1.939411015,1.776639812,4.182802646,1.360218729,2.099769617,0,2.610552009,0,0,0,0,2.301772388,3.438790409,2.068982113,11.3810908,2.813484023,2.695586226,1.457014718,2.124450594,0.753071045,0,1.5,1.54,2.66,1.36,4.05,2.66,0,0.26,0.65,6.41,0,0,0.26,0.39,0.83,0.39,0.79,1.56
6/12/26,7.110995028,4.787338249,0,8.706126672,6.268656716,2.06333589,4.904442149,0,0,4.383192279,0,0,0,0,0,0,0,0,0,0,0,0,3.84,11.36585366,5.625,3.720930233,13.84019899,0.9375,0.89656608,2.718878249,0.84729064,1.939411015,1.776639812,5.120753584,1.818233996,2.531424294,0.916030534,4.734146908,0,1.80261723,5.043627331,0,2.746216833,3.741820712,3.021363065,18.37776926,2.813484023,3.648276006,1.457014718,2.382718309,1.521867961,0,2.73,1.92,3.05,4.78,5.42,3.05,0.77,1.55,0.65,6.93,0,0,0.26,0.39,0.83,1.18,0.79,2.34
