Year,FullSeasonMono,TyeeEsc,q,catchability,last3,last2,last4,pred
2000,3655.79,2392719,0.001527881,654.5012159,,,,
2001,3009.99,2300594,0.001308353,764.3194828,,709.4103493,,
2002,1898.85,799599,0.002374753,421.0964531,613.3057173,592.707968,,
2003,1891.34,1506757,0.001255239,796.6610974,660.6923444,608.8787753,659.1445623,613.3057173
2004,1630.05,1145166,0.001423418,702.5342781,640.0972762,749.5976878,671.1528279,660.6923444
2005,1122.12,904892,0.00124006,806.4128614,768.536079,754.4735697,681.6761725,640.0972762
2006,3621.02,1805192,0.002005892,498.531353,669.1594975,652.4721072,701.0348975,768.536079
2007,1896.76,1298389,0.001460856,684.5299353,663.1580499,591.5306442,673.0021069,669.1594975
2008,2853.07,1406808,0.002028045,493.0856937,558.7156607,588.8078145,620.6399608,663.1580499
2009,1557.48,939971,0.001656945,603.5204304,593.7120198,548.303062,569.9168531,558.7156607
2010,1638.07,863525,0.001896957,527.1600115,541.2553785,565.340221,577.0740177,593.7120198
2011,2755.27,1418459,0.001942439,514.8166967,548.4990462,520.9883541,534.6457081,541.2553785
2012,2195.89,1720090,0.001276613,783.3224797,608.4330626,649.0695882,607.2049046,548.4990462
2013,574.5,460208,0.001248349,801.0583116,699.732496,792.1903956,656.5893749,608.4330626
2014,3103.12,2326662,0.001333722,749.7815102,778.0541005,775.4199109,712.2447496,699.732496
2015,1602.11,1793365,0.000893354,1119.376947,890.0722561,934.5792284,863.384812,778.0541005
2016,1673.61,1233087,0.001357252,736.782763,868.6470733,928.0798548,851.7498829,890.0722561
2017,1213.65,989561,0.001226453,815.3594529,890.5063875,776.0711079,855.3251682,868.6470733
2018,1687.54,1587436,0.00106306,940.6805172,830.940911,878.019985,903.0499199,890.5063875
2019,788.34,668672,0.001178964,848.2025522,868.0808408,894.4415347,835.2563213,830.940911
2020,1322.91,1448135,0.00091,1094.7,961.1943565,971.4512761,924.7356306,
2021,1069.49,1256958,0.00085,1175.3,1039.400851,1135,1014.720767,
2022,3447.72,3427919,0.00101,994.3,1088.1,1084.8,1028.125638,
2023,1505.87,1632387,0.00092,1084.0,1084.533333,1039.15,1087.075,
2024,1627.67,2477005,0.00066,1521.8,1200.033333,1302.9,1193.85,
2025,1248.94,1634149,0.00076,1308.4,1304.733333,1415.1,1227.125,
