day,datefull,date,est.2019,ind.2019,est.2020,ind.2020
1,2019-06-01,01-Jun,0,0,0,0
2,2019-06-02,02-Jun,0,0,0,0
3,2019-06-03,03-Jun,0,0,0,0
4,2019-06-04,04-Jun,0,0,0,0
5,2019-06-05,05-Jun,0,0,0,0
6,2019-06-06,06-Jun,0,0,0,0
7,2019-06-07,07-Jun,0,0,0,0
8,2019-06-08,08-Jun,0,0,0,0
9,2019-06-09,09-Jun,0,0,0,0
10,2019-06-10,10-Jun,0,0,0,0
11,2019-06-11,11-Jun,0,0,276,0.26
12,2019-06-12,12-Jun,0,0,0,0
13,2019-06-13,13-Jun,0,0,0,0
14,2019-06-14,14-Jun,393,0.39,0,0
15,2019-06-15,15-Jun,0,0,0,0
16,2019-06-16,16-Jun,0,0,0,0
17,2019-06-17,17-Jun,0,0,0,0
18,2019-06-18,18-Jun,0,0,0,0
19,2019-06-19,19-Jun,0,0,0,0
20,2019-06-20,20-Jun,0,0,0,0
21,2019-06-21,21-Jun,0,0,0,0
22,2019-06-22,22-Jun,0,0,0,0
23,2019-06-23,23-Jun,532,0.52,413,0.39
24,2019-06-24,24-Jun,266,0.26,820,0.77
25,2019-06-25,25-Jun,266,0.26,0,0
26,2019-06-26,26-Jun,266,0.26,827,0.78
27,2019-06-27,27-Jun,0,0,0,0
28,2019-06-28,28-Jun,1055,1.04,556,0.52
29,2019-06-29,29-Jun,1329,1.31,0,0
30,2019-06-30,30-Jun,532,0.52,1111,1.05
31,2019-07-01,01-Jul,3457,3.41,3273,3.09
32,2019-07-02,02-Jul,3191,3.15,823,0.78
33,2019-07-03,03-Jul,1994,1.97,1111,1.05
34,2019-07-04,04-Jul,1595,1.57,417,0.39
35,2019-07-05,05-Jul,2393,2.36,2471,2.33
36,2019-07-06,06-Jul,5328,5.26,5624,5.31
37,2019-07-07,07-Jul,3988,3.94,2461,2.32
38,2019-07-08,08-Jul,3664,3.62,4855,4.59
39,2019-07-09,09-Jul,6244,6.16,4450,4.2
40,2019-07-10,10-Jul,1595,1.57,11315,10.69
41,2019-07-11,11-Jul,4242,4.19,17010,16.07
42,2019-07-12,12-Jul,2127,2.1,11490,10.85
43,2019-07-13,13-Jul,4343,4.29,10185,9.62
44,2019-07-14,14-Jul,4910,4.85,24426,23.07
45,2019-07-15,15-Jul,7909,7.8,13756,12.99
46,2019-07-16,16-Jul,13448,13.27,10009,9.45
47,2019-07-17,17-Jul,11112,10.97,4829,4.56
48,2019-07-18,18-Jul,1991,1.96,4413,4.17
49,2019-07-19,19-Jul,17088,16.86,18233,17.22
50,2019-07-20,20-Jul,16551,16.33,36247,34.24
51,2019-07-21,21-Jul,9011,8.89,36217,34.21
52,2019-07-22,22-Jul,25350,25.02,40425,38.19
53,2019-07-23,23-Jul,30219,29.82,34532,32.62
54,2019-07-24,24-Jul,7711,7.61,57334,54.16
55,2019-07-25,25-Jul,11682,11.53,,
56,2019-07-26,26-Jul,25950,25.61,,
57,2019-07-27,27-Jul,25514,25.18,,
58,2019-07-28,28-Jul,16794,16.57,,
59,2019-07-29,29-Jul,13790,13.61,,
60,2019-07-30,30-Jul,15519,15.32,,
61,2019-07-31,31-Jul,22959,21.91,,
62,2019-08-01,01-Aug,28709,28.29,,
63,2019-08-02,02-Aug,24910,24.23,,
64,2019-08-03,03-Aug,22338,22.04,,
65,2019-08-04,04-Aug,23667,22.99,,
66,2019-08-05,05-Aug,18443,20.02,,
67,2019-08-06,06-Aug,14538,14.35,,
68,2019-08-07,07-Aug,,27.76,,
69,2019-08-08,08-Aug,,30.57,,
70,2019-08-09,09-Aug,,18.63,,
71,2019-08-10,10-Aug,,17.61,,
72,2019-08-11,11-Aug,,8.48,,
73,2019-08-12,12-Aug,,3.53,,
74,2019-08-13,13-Aug,,6.66,,
75,2019-08-14,14-Aug,,8.57,,
76,2019-08-15,15-Aug,,4.92,,
77,2019-08-16,16-Aug,,5.3,,
78,2019-08-17,17-Aug,,6.03,,
79,2019-08-18,18-Aug,,1.94,,
80,2019-08-19,19-Aug,,21.94,,
81,2019-08-20,20-Aug,,3.08,,
82,2019-08-21,21-Aug,,0,,
83,2019-08-22,22-Aug,,2.73,,
84,2019-08-23,23-Aug,,1.55,,
85,2019-08-24,24-Aug,,1.17,,
86,2019-08-25,25-Aug,,2.73,,
87,2019-08-26,26-Aug,,0.26,,
88,2019-08-27,27-Aug,,0.77,,
89,2019-08-28,28-Aug,,2.7,,
90,2019-08-29,29-Aug,,0.36,,
91,2019-08-30,30-Aug,,0,,
92,2019-08-31,31-Aug,,3.46,,
93,2019-09-01,01-Sep,,1.97,,
94,2019-09-02,02-Sep,,0.39,,
95,2019-09-03,03-Sep,,4.65,,
96,2019-09-04,04-Sep,,0.79,,
97,2019-09-05,05-Sep,,0.39,,
98,2019-09-06,06-Sep,,0,,
99,2019-09-07,07-Sep,,0.39,,
100,2019-09-08,08-Sep,,1.17,,
101,2019-09-09,09-Sep,,0,,
102,2019-09-10,10-Sep,,0,,
