"Date","Timing","Estimate"
2026-06-10,"Early",0
2026-06-10,"Average",0
2026-06-10,"Late",NA
2026-06-11,"Early",0
2026-06-11,"Average",0
2026-06-11,"Late",NA
2026-06-12,"Early",0
2026-06-12,"Average",0
2026-06-12,"Late",NA
2026-06-13,"Early",0
2026-06-13,"Average",0
2026-06-13,"Late",NA
2026-06-14,"Early",187002.159146173
2026-06-14,"Average",808168.803943106
2026-06-14,"Late",NA
2026-06-15,"Early",249464.372433422
2026-06-15,"Average",998706.974208042
2026-06-15,"Late",NA
2026-06-16,"Early",210028.822633543
2026-06-16,"Average",791568.531460932
2026-06-16,"Late",NA
2026-06-17,"Early",179189.302284229
2026-06-17,"Average",638810.034783737
2026-06-17,"Late",6915189.57157619
2026-06-18,"Early",294656.136630551
2026-06-18,"Average",1011536.65013143
2026-06-18,"Late",7557861.94338935
2026-06-19,"Early",674050.271680719
2026-06-19,"Average",2193971.39013882
2026-06-19,"Late",12496309.3719965
2026-06-20,"Early",901440.006853741
2026-06-20,"Average",2797196.85727719
2026-06-20,"Late",13371472.2172534
2026-06-21,"Early",983580.57714683
2026-06-21,"Average",2899438.46957357
2026-06-21,"Late",12530527.6193644
2026-06-22,"Early",1163845.69835693
2026-06-22,"Average",3276649.21876313
2026-06-22,"Late",13117754.6312166
2026-06-23,"Early",1322410.36888281
2026-06-23,"Average",3554596.99914949
2026-06-23,"Late",13396766.6497923
2026-06-24,"Early",1414160.67089084
2026-06-24,"Average",3690544.42309913
2026-06-24,"Late",13156794.4137164
2026-06-25,"Early",1616288.91502042
2026-06-25,"Average",4098168.03128954
2026-06-25,"Late",14068762.3527896
2026-06-26,"Early",1532974.58426182
2026-06-26,"Average",3842476.22198084
2026-06-26,"Late",12506905.2747269
2026-06-27,"Early",1526129.87692481
2026-06-27,"Average",3812689.13399873
2026-06-27,"Late",11830894.9928007
2026-06-28,"Early",1596587.19504737
2026-06-28,"Average",3973457.41434776
2026-06-28,"Late",11713117.9204369
2026-06-29,"Early",1533635.70650595
2026-06-29,"Average",3792782.3912958
2026-06-29,"Late",10678062.8024168
