date,Lax Kw'alaams,Metlakatla,North Coast Skeena,Kitselas,Kitsumkalum,Gitksan,Lake Babine Nation
2026-07-09,323,576,1134,,,,
2026-07-10,,,,,,,
2026-07-11,,,,,,,
2026-07-12,340,576,2263,,,,
2026-07-13,,,,,,,
2026-07-14,,,,,,,
2026-07-15,296,,1290,43,,,
2026-07-16,,,,61,,,
2026-07-17,,746,,,,,
2026-07-18,,,1364,134,202,,
2026-07-19,,,,101,334,,
2026-07-20,,,493,79,,,
2026-07-21,,1535,,54,70,,
2026-07-22,571,,1020,36,96,,
2026-07-23,,,,31,129,,
2026-07-24,,563,,25,286,,
2026-07-25,,,,24,192,,
2026-07-26,,,,10,51,,
2026-07-27,1083,,2205,21,165,,
2026-07-28,,,,7,209,,
2026-07-29,,1145,,11,178,,
2026-07-30,,,,,149,,
2026-07-31,464,,1499,,50,,
2026-08-01,,,,,56,,
2026-08-02,,,,,159,,
2026-08-03,,,,,289,,
2026-08-04,,,,,153,,
2026-08-05,,,,,119,,
2026-08-06,,,,,375,,
2026-08-07,,,,,280,,
2026-08-08,,,,,,,
2026-08-09,,,,,223,,
2026-08-10,,,,,,,
2026-08-11,,,,,,,
2026-08-12,,,,,,,
2026-08-13,,,,,,,
2026-08-14,,,,,,,
2026-08-15,,,,,,,
2026-08-16,,,,,,,
2026-08-17,,,,,,,
2026-08-18,,,,,,,
2026-08-19,,,,,,,
2026-08-20,,,,,,,
2026-08-21,,,,,,,
2026-08-22,,,,,,,
2026-08-23,,,,,,,1250
2026-08-24,,,,,,,1625
2026-08-25,,,,,,,6240
2026-08-26,,,,,,,2430
2026-08-27,,,,,,,2080
2026-08-28,,,,,,,1690
2026-08-29,,,,,,,1215
2026-08-30,,,,,,,
2026-08-31,,,,,,,
