date,nation,sockeye
2026-07-09,Lax Kw'alaams,323
2026-07-12,Lax Kw'alaams,340
2026-07-09,Metlakatla,576
2026-07-12,Metlakatla,576
2026-07-09,North Coast Skeena,1134
2026-07-12,North Coast Skeena,2263
2026-07-15,North Coast Skeena,1290
2026-07-15,Lax Kw'alaams,296
2026-07-22,Lax Kw'alaams,571
2026-07-16,Kitselas,61
2026-07-18,Kitselas,134
2026-07-15,Kitselas,43
2026-07-18,Kitsumkalum,202
2026-07-19,Kitsumkalum,334
2026-07-21,Kitsumkalum,70
2026-07-22,Kitsumkalum,96
2026-07-23,Kitsumkalum,129
2026-07-18,North Coast Skeena,1364
2026-07-20,North Coast Skeena,493
2026-07-22,North Coast Skeena,1020
