Date,DemoCatch,FSCCatch,,,,,,
2025-07-01,0,0,,,,,,
2025-07-02,0,0,,,,,,
2025-07-03,0,0,,,,,,
2025-07-04,0,0,,,,,,
2025-07-05,0,0,,,,,,
2025-07-06,0,0,,,,,,
2025-07-07,0,0,,,,,,
2025-07-08,0,0,,,,,,
2025-07-09,0,0,,,,,,
2025-07-10,0,1000,,,,,,
2025-07-11,0,1000,,,,,,
2025-07-12,0,1000,,,,,,
2025-07-13,0,1000,,,,,,
2025-07-14,0,1000,,,,,,
2025-07-15,0,1000,,,,,,
2025-07-16,0,1000,,,,,,
2025-07-17,0,2000,,,,,,
2025-07-18,0,2000,,,,,,
2025-07-19,0,2000,,,,,,
2025-07-20,0,2000,,,,,,
2025-07-21,0,2000,,,,,,
2025-07-22,0,2000,,,,,,
2025-07-23,0,2000,,,,,,
2025-07-24,500,3000,,,,,,
2025-07-25,500,3000,,,,,,
2025-07-26,500,3000,,,,,,70855.9
2025-07-27,500,3000,,,,,,
2025-07-28,500,3000,,,,,,
2025-07-29,500,3000,,,,,,
2025-07-30,1000,3000,,,,,,
2025-07-31,1000,5000,,,,,,
2025-08-01,1000,5000,,,,,,
2025-08-02,1000,5000,,,,,,
2025-08-03,1000,5000,,,,,,
2025-08-04,1000,5000,,,,,,
2025-08-05,1000,5000,,,,,,
2025-08-06,1000,5000,,,,,,
2025-08-07,1000,5000,,,,,,
2025-08-08,1000,5000,,,,,,
2025-08-09,1000,5000,,,,,,
2025-08-10,1000,5000,,,,,,
2025-08-11,1000,5000,,,,,,
2025-08-12,1000,5000,,,,,,
2025-08-13,1000,5000,,,,,,
2025-08-14,1000,5000,,,,,,
2025-08-15,1000,5000,,,,,,
2025-08-16,1000,5000,,,,,,
2025-08-17,1000,5000,,,,,,
2025-08-18,1000,5000,,,,,,
2025-08-19,1000,5000,,,,,,
2025-08-20,1000,5000,,,,,,
2025-08-21,1000,5000,,,,,,
2025-08-22,1000,5000,,,,,,
2025-08-23,1000,5000,,,,,,
2025-08-24,1000,5000,,,,,,
2025-08-25,1000,5000,,,,,,
2025-08-26,1000,5000,,,,,,
2025-08-27,1000,5000,,,,,,
2025-08-28,1000,5000,,,,,,
2025-08-29,1000,5000,,,,,,
2025-08-30,1000,5000,,,,,,
2025-08-31,1000,5000,,,,,,
2025-09-01,1000,5000,,,,,,
2025-09-02,1000,5000,,,,,,
2025-09-03,1000,5000,,,,,,
2025-09-04,1000,5000,,,,,,
2025-09-05,1000,5000,,,,,,
2025-09-06,1000,5000,,,,,,
2025-09-07,1000,5000,,,,,,
2025-09-08,1000,5000,,,,,,
2025-09-09,1000,5000,,,,,,
2025-09-10,1000,5000,,,,,,
