Year,Month,Effort
2016,June,3961
2016,July,5295
2016,August,3325
2017,June,4574
2017,July,6044
2017,August,2980
2018,June,2873
2018,July,4593
2018,August,3304
2019,May,1553
2019,June,3790
2019,July,4644
2019,August,4175
2021,May,1785
2021,June,2507
2021,July,4318
2021,August,3542
2022,May,1587
2022,June,2712
2022,July,4040
2022,August,3285
2023,May,1428
2023,June,2735
2023,July,3868
2023,August,4055
2024,May,1851
2024,June,3335
2024,July,4247
2024,August,4296
2025,May,1163
2025,June,3150
2025,July,4726
2025,August,5148
2026,May,1623
2026,June,2723
