Year,Species,Month,Disposition,Value
2017,Chinook,June,Retained,5229
2017,Chinook,June,Released,2800
2017,Chinook,July,Retained,3800
2017,Chinook,July,Released,1811
2017,Chinook,August,Retained,1078
2017,Chinook,August,Released,697
2017,Coho,June,Retained,1839
2017,Coho,June,Released,278
2017,Coho,July,Retained,22871
2017,Coho,July,Released,3340
2017,Coho,August,Retained,14004
2017,Coho,August,Released,1113
2017,Pacific Halibut,June,Retained,4632
2017,Pacific Halibut,June,Released,3072
2017,Pacific Halibut,July,Retained,6563
2017,Pacific Halibut,July,Released,3425
2017,Pacific Halibut,August,Retained,3410
2017,Pacific Halibut,August,Released,687
2018,Chinook,June,Retained,1273
2018,Chinook,June,Released,2121
2018,Chinook,July,Retained,2964
2018,Chinook,July,Released,2612
2018,Chinook,August,Retained,1593
2018,Chinook,August,Released,1264
2018,Coho,June,Retained,126
2018,Coho,June,Released,12
2018,Coho,July,Retained,5758
2018,Coho,July,Released,401
2018,Coho,August,Retained,4580
2018,Coho,August,Released,154
2018,Pacific Halibut,June,Retained,3407
2018,Pacific Halibut,June,Released,2345
2018,Pacific Halibut,July,Retained,4263
2018,Pacific Halibut,July,Released,3390
2018,Pacific Halibut,August,Retained,3183
2018,Pacific Halibut,August,Released,2457
2019,Chinook,May,Retained,2234
2019,Chinook,May,Released,1145
2019,Chinook,June,Retained,5675
2019,Chinook,June,Released,4735
2019,Chinook,July,Retained,4806
2019,Chinook,July,Released,2382
2019,Chinook,August,Retained,2437
2019,Chinook,August,Released,2866
2019,Coho,May,Retained,29
2019,Coho,May,Released,44
2019,Coho,June,Retained,1475
2019,Coho,June,Released,271
2019,Coho,July,Retained,10341
2019,Coho,July,Released,809
2019,Coho,August,Retained,11974
2019,Coho,August,Released,982
2019,Pacific Halibut,May,Retained,941
2019,Pacific Halibut,May,Released,326
2019,Pacific Halibut,June,Retained,2698
2019,Pacific Halibut,June,Released,2330
2019,Pacific Halibut,July,Retained,3894
2019,Pacific Halibut,July,Released,3059
2019,Pacific Halibut,August,Retained,3435
2019,Pacific Halibut,August,Released,1769
2021,Chinook,May,Retained,1580
2021,Chinook,May,Released,497
2021,Chinook,June,Retained,1834
2021,Chinook,June,Released,3652
2021,Chinook,July,Retained,2797
2021,Chinook,July,Released,3694
2021,Chinook,August,Retained,1172
2021,Chinook,August,Released,1799
2021,Coho,May,Retained,0
2021,Coho,May,Released,0
