Year,Month,Area,Sub-Area,Effort
2019,May,3,3I,133.8
2019,May,3,3J,141.4
2019,May,3,3K,163.5
2019,May,4,4A,133.4
2019,May,4,4B,204.3
2019,May,4,4C,433.8
2019,May,4,4D,38.2
2019,May,4,4E,41.5
2019,May,4,4F,142.8
2019,May,4,4G,35.9
2019,May,4,4H,40.6
2019,May,4,4L,44.1
2019,June,3,3I,474.3
2019,June,3,3J,630.6
2019,June,3,3K,501.3
2019,June,4,4A,79.1
2019,June,4,4B,360.3
2019,June,4,4C,566.3
2019,June,4,4D,101.7
2019,June,4,4E,49.6
2019,June,4,4F,583.8
2019,June,4,4G,172.4
2019,June,4,4H,125.2
2019,June,4,4L,145.6
2019,July,3,3I,605.9
2019,July,3,3J,949.9
2019,July,3,3K,378.9
2019,July,4,4A,99.1
2019,July,4,4B,356.9
2019,July,4,4C,750.1
2019,July,4,4D,92.3
2019,July,4,4E,71.3
2019,July,4,4F,878.5
2019,July,4,4G,262.8
2019,July,4,4H,141.9
2019,July,4,4L,56.9
2019,August,3,3I,900.7
2019,August,3,3J,581.2
2019,August,3,3K,431.7
2019,August,4,4A,114.6
2019,August,4,4B,283.7
2019,August,4,4C,690.4
2019,August,4,4D,65.7
2019,August,4,4E,128.3
2019,August,4,4F,522.4
2019,August,4,4G,204.1
2019,August,4,4H,235
2019,August,4,4L,17.3
