Date,Runtiming,sockeye,coho,pink,chum,chinook,steelhead,esctyee,cum_check
2025-06-03,,0,0,0,0,0,0,0,0
2025-06-04,,0,0,0,0,0,0,0,0
2025-06-05,,0,0,0,0,0,0,0,0
2025-06-06,,0,0,0,0,0,0,0,0
2025-06-07,,0,0,0,0,0,0,0,0
2025-06-08,,0,0,0,0,0,0,0,0
2025-06-09,,0,0,0,0,0,0,0,0
2025-06-10,0.000452916,0,0,0,0,0.61,0,0,0
2025-06-11,0.000797977,1.56,0,0,0,0.91,0,2035,2035
2025-06-12,0.001273496,0.78,0,0,0,1.21,0,1017,3052
2025-06-13,0.001822462,0.39,0,0,0,0.3,0,509,3561
2025-06-14,0.002428948,0,0,0,0,0,0,0,3561
2025-06-15,0.003136055,0,0,0,0,0.61,0,0,3561
2025-06-16,0.003956701,0.77,0,0,0,1.5,0,1001,4562
2025-06-17,0.004902866,1.05,0,0,0,0.2,0,1362,5924
2025-06-18,0.005962216,0.52,0,0,0,0.6,0,678,6602
2025-06-19,0.007253513,0.39,0,0,0,0.61,0,513,7115
2025-06-20,0.008711936,1.57,0,0,0,0.6,0,2040,9155
2025-06-21,0.010497205,2.34,0,0,0,2.22,0,3052,12212
2025-06-22,0.012554899,2.36,0,0,0,0.81,0,3074,15286
2025-06-23,0.014912239,1.81,0,0,0,0.8,0,2361,17647
2025-06-24,0.017478722,1.82,0,0,0,1.57,0,2371,20018
2025-06-25,0.020467926,4.23,0,0,0,2.99,0,5512,25530
2025-06-26,0.023609515,3.13,0,0,0,2.13,0,4077,29607
2025-06-27,0.027033413,3.89,0,0,0,3.3,0,5063,34670
2025-06-28,0.030944084,5.63,0,0,0,4.65,0,7339,42004
2025-06-29,0.03534661,6.25,0,0,0,3.41,0,8147,50151
2025-06-30,0.040083624,10.5,0,0,0,4.36,0,13677,63828
2025-07-01,0.045614336,,,,,,,,
2025-07-02,0.051897281,,,,,,,,
2025-07-03,0.059178411,,,,,,,,
2025-07-04,0.067536847,,,,,,,,
2025-07-05,0.07701114,,,,,,,,
2025-07-06,0.087414501,,,,,,,,
2025-07-07,0.099186825,,,,,,,,
2025-07-08,0.11263174,,,,,,,,
2025-07-09,0.127465756,,,,,,,,
2025-07-10,0.143749121,,,,,,,,
2025-07-11,0.161284177,,,,,,,,
2025-07-12,0.179531416,,,,,,,,
2025-07-13,0.198765685,,,,,,,,
2025-07-14,0.21958073,,,,,,,,
2025-07-15,0.241736642,,,,,,,,
2025-07-16,0.265201923,,,,,,,,
2025-07-17,0.290753,,,,,,,,
2025-07-18,0.317358922,,,,,,,,
2025-07-19,0.34469193,,,,,,,,
2025-07-20,0.373088135,,,,,,,,
2025-07-21,0.402264933,,,,,,,,
2025-07-22,0.431891239,,,,,,,,
2025-07-23,0.461514438,,,,,,,,
2025-07-24,0.491439396,,,,,,,,
2025-07-25,0.521583602,,,,,,,,
2025-07-26,0.55154933,,,,,,,,
2025-07-27,0.580767597,,,,,,,,
2025-07-28,0.609734786,,,,,,,,
2025-07-29,0.637813556,,,,,,,,
2025-07-30,0.66466683,,,,,,,,
2025-07-31,0.690838355,,,,,,,,
2025-08-01,0.71604962,,,,,,,,
2025-08-02,0.739463266,,,,,,,,
2025-08-03,0.761392549,,,,,,,,
2025-08-04,0.78217492,,,,,,,,
2025-08-05,0.801562664,,,,,,,,
2025-08-06,0.819723014,,,,,,,,
2025-08-07,0.837122375,,,,,,,,
2025-08-08,0.853239467,,,,,,,,
2025-08-09,0.867650778,,,,,,,,
2025-08-10,0.880400626,,,,,,,,
2025-08-11,0.891555907,,,,,,,,
2025-08-12,0.90133415,,,,,,,,
2025-08-13,0.910229383,,,,,,,,
2025-08-14,0.918483074,,,,,,,,
2025-08-15,0.926289004,,,,,,,,
2025-08-16,0.933701911,,,,,,,,
2025-08-17,0.940927569,,,,,,,,
2025-08-18,0.947558788,,,,,,,,
2025-08-19,0.95345074,,,,,,,,
2025-08-20,0.958711683,,,,,,,,
2025-08-21,0.963487251,,,,,,,,
2025-08-22,0.967667729,,,,,,,,
2025-08-23,0.971519445,,,,,,,,
2025-08-24,0.974939545,,,,,,,,
2025-08-25,0.978177394,,,,,,,,
2025-08-26,0.981143247,,,,,,,,
2025-08-27,0.983816835,,,,,,,,
2025-08-28,0.986055504,,,,,,,,
2025-08-29,0.988160589,,,,,,,,
2025-08-30,0.98997415,,,,,,,,
2025-08-31,0.991482856,,,,,,,,
2025-09-01,0.992701059,,,,,,,,
2025-09-02,0.993839033,,,,,,,,
2025-09-03,0.994821504,,,,,,,,
2025-09-04,0.995639028,,,,,,,,
2025-09-05,0.996392077,,,,,,,,
2025-09-06,0.99703854,,,,,,,,
2025-09-07,0.997586853,,,,,,,,
2025-09-08,0.998079042,,,,,,,,
2025-09-09,0.998495697,,,,,,,,
2025-09-10,0.998810461,,,,,,,,
2025-09-11,0.999094363,,,,,,,,
2025-09-12,0.99934003,,,,,,,,
2025-09-13,0.999549452,,,,,,,,
2025-09-14,0.999708276,,,,,,,,
2025-09-15,0.99984671,,,,,,,,
2025-09-16,0.999929162,,,,,,,,
2025-09-17,0.999971054,,,,,,,,
2025-09-18,1,,,,,,,,
2025-09-19,1,,,,,,,,
2025-09-20,1,,,,,,,,
2025-09-21,1,,,,,,,,
2025-09-22,1,,,,,,,,
