Date,Runtiming,dailyruntiming,sockeye,coho,pink,chum,chinook,steelhead,esctyee,cum_check,dailyat2m
2026-06-03,,,0,0,0,0,0,0,0,0,
2026-06-04,,,0,0,0,0,0,0,0,0,
2026-06-05,,,0,0,0,0,0,0,0,0,
2026-06-06,,,0,0,0,0,0,0,0,0,
2026-06-07,,,0,0,0,0,0,0,0,0,
2026-06-08,,,0,0,0,0,0,0,0,0,
2026-06-09,,,0,0,0,0,0,0,0,0,
2026-06-10,0.000452916,0.000452916,3.44,0.00,0.00,0.00,0.59,0.00,5155,5155,905.832
2026-06-11,0.000797977,0.000345061,4.05,0.00,0.00,0.00,1.57,0.00,6062,11217,690.122
2026-06-12,0.001273496,0.000475519,2.52,0.00,0.00,0.00,1.56,0.00,3765,14982,951.038
2026-06-13,0.001822462,0.000548966,1.83,0.00,0.00,0.00,0.20,0.00,2733,17715,1097.932
2026-06-14,0.002428948,0.000606486,1.31,0.00,0.00,0.00,0.81,0.00,1963,19678,1212.972
