year,rawperror,5yr
2000,0.23,0.105090801
2001,0.11,0.881579422
2002,0.56,0.443803818
2003,-0.14,0.65716642
2004,-0.27,0.207258142
2005,-0.16,0.364175551
2006,0.41,0.247322377
2007,0.07,0.900978222
2008,0.28,0.206374933
2009,0.02,0.705479046
2010,0.07,0.348893107
2011,0.04,0.506152632
2012,-0.21,0.827740646
2013,-0.22,0.236563866
2014,-0.07,0.142259188
2015,-0.29,0.501139125
2016,0.17,0.769888242
2017,-0.01,0.870503418
2018,-0.11,0.099237709
2019,0.12,0.86
2020,-0.25,0.08
2021,-0.18,0.69
2022,0.10,0.32
2023,0.04,0.47
2024,-0.28,0.35
2025,-0.10,0.33
